Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
5.8000000E+2	-1.1985546E-1
5.8100000E+2	-1.1332616E-1
5.8200000E+2	-1.1657497E-1
5.8300000E+2	-1.1111945E-1
5.8400000E+2	-1.1719342E-1
5.8500000E+2	-1.0740124E-1
5.8600000E+2	-1.1110071E-1
5.8700000E+2	-1.1450358E-1
5.8800000E+2	-1.0907115E-1
5.8900000E+2	-1.0723329E-1
5.9000000E+2	-1.0755033E-1
5.9100000E+2	-1.1000766E-1
5.9200000E+2	-1.0908887E-1
5.9300000E+2	-1.1255950E-1
5.9400000E+2	-1.0880845E-1
5.9500000E+2	-1.1438663E-1
5.9600000E+2	-1.1027265E-1
5.9700000E+2	-1.1401639E-1
5.9800000E+2	-1.0762748E-1
5.9900000E+2	-1.1383580E-1
6.0000000E+2	-1.1059392E-1
6.0100000E+2	-1.1357612E-1
6.0200000E+2	-1.1138897E-1
6.0300000E+2	-1.1518167E-1
6.0400000E+2	-1.2267157E-1
6.0500000E+2	-1.1899485E-1
6.0600000E+2	-1.1955015E-1
6.0700000E+2	-1.1025781E-1
